uq_ortho_gene_id	tax_id	prot_seq_id	uniprot_id	ensemble_gene_name	ncbi_gid	description
9796_0:00127b	9796_0	LOC100146267			100146267	guanylate-binding protein 7
9796_0:00127c	9796_0	C5H1orf52	F6RKE1		100052670	Chromosome 5 C1orf52 homolog
9796_0:00127d	9796_0	LOC100052500	F7CAB1		100052500	LOC100052500
9796_0:00127e	9796_0	HRNR			106783184	hornerin
9796_0:00127f	9796_0	KIAA1107			100060067	uncharacterized protein KIAA1107 homolog isoform X1
9796_0:001280	9796_0	LOC100052081	F6Q015		100052081	LOC100052081
9796_0:001281	9796_0	MSH4	F6PKF0		100053320	DNA mismatch repair protein
9796_0:001282	9796_0	DHX9			100055171	ATP-dependent RNA helicase A isoform X1
9796_0:001283	9796_0	LOC100064949			100064949	LOW QUALITY PROTEIN: neuroblastoma breakpoint family member 6-like
9796_0:001284	9796_0	LOC111773653			111773653	uncharacterized protein LOC111773653
9796_0:001285	9796_0	LOC100064182			100064182	monocarboxylate transporter 1 isoform X1
9796_0:001286	9796_0	TMED5	F6XCR3		100051148	Transmembrane p24 trafficking protein 5
9796_0:001287	9796_0	SYCP1			100065564	synaptonemal complex protein 1 isoform X1
9796_0:001288	9796_0	BRDT			100051647	bromodomain testis-specific protein isoform X1
9796_0:001289	9796_0	NEK2	F6VX92		100054759	NIMA related kinase 2
9796_0:00128a	9796_0	CD160			100065657	CD160 antigen isoform X1
9796_0:00128b	9796_0	PSMB4	F7DF55		100059821	Proteasome subunit beta
9796_0:00128c	9796_0	KLHDC8A			100054942	kelch domain-containing protein 8A isoform X1
9796_0:00128d	9796_0	OLFML2B			100050561	olfactomedin-like protein 2B isoform X1
9796_0:00128e	9796_0	ACKR1			100057225	atypical chemokine receptor 1
9796_0:00128f	9796_0	MFSD4A			100055030	major facilitator superfamily domain-containing protein 4A isoform X1
9796_0:001290	9796_0	MRPL24			100058163	39S ribosomal protein L24, mitochondrial
9796_0:001291	9796_0	IVNS1ABP			100052212	influenza virus NS1A-binding protein isoform X1
9796_0:001292	9796_0	LOC102147484			102147484	putative uncharacterized protein encoded by LINC00467
9796_0:001293	9796_0	RNPC3			100054806	RNA-binding protein 40
9796_0:001294	9796_0	SLC44A3			100058196	choline transporter-like protein 3 isoform X1
9796_0:001295	9796_0	INSRR			100058246	insulin receptor-related protein
9796_0:001296	9796_0	CD1c	G3FP08		100056353	CD1 protein
9796_0:001297	9796_0	DOCK7			100070382	dedicator of cytokinesis protein 7
9796_0:001298	9796_0	MPZL1			100056894	myelin protein zero-like protein 1 isoform X1
9796_0:001299	9796_0	ASH1L			100057386	histone-lysine N-methyltransferase ASH1L isoform X1
9796_0:00129a	9796_0	SETDB1			100059254	histone-lysine N-methyltransferase SETDB1 isoform X1
9796_0:00129b	9796_0	PIK3C2B			100054391	phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta isoform X1
9796_0:00129c	9796_0	PRRX1			100051961	paired mesoderm homeobox protein 1 isoform X1
9796_0:00129d	9796_0	LOC100056789			100056789	olfactory receptor 6K6
9796_0:00129e	9796_0	LRRC39			100050384	leucine-rich repeat-containing protein 39 isoform X1
9796_0:00129f	9796_0	CLK2	F6YYR1		100063546	CDC like kinase 2
9796_0:0012a0	9796_0	LOC100057510			100057510	olfactory receptor 10J4
9796_0:0012a1	9796_0	ANGPTL1			100052931	angiopoietin-related protein 1
9796_0:0012a2	9796_0	KIAA1324	F6TRZ6		100058066	KIAA1324
9796_0:0012a3	9796_0	RC3H1			100052499	roquin-1 isoform X1
9796_0:0012a4	9796_0	NUCKS1			100055118	nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 isoform X1
9796_0:0012a5	9796_0	VAMP4			100052201	vesicle-associated membrane protein 4
9796_0:0012a6	9796_0	LOC105761007			105761007	uncharacterized protein LOC105761007
9796_0:0012a7	9796_0	MAEL	F7DRD9		100051291	Maelstrom spermatogenic transposon silencer
9796_0:0012a8	9796_0	S100A2			100056230	protein S100-A2
9796_0:0012a9	9796_0	NAXE	F7BAC3		100057939	NAD(P)H-hydrate epimerase
9796_0:0012aa	9796_0	LOC100056271			100056271	olfactory receptor 10X1-like
9796_0:0012ab	9796_0	SMG5			100057746	protein SMG5
9796_0:0012ac	9796_0	RNF2			100056141	E3 ubiquitin-protein ligase RING2
9796_0:0012ad	9796_0	EFNA4	F6ZGF1		100063240	Ephrin A4
9796_0:0012ae	9796_0	CD2	P37998		100034205	T-cell surface antigen CD2
9796_0:0012af	9796_0	CTH	F7D1J3		100053614	Cystathionine gamma-lyase
9796_0:0012b0	9796_0	PBX1			100058426	pre-B-cell leukemia transcription factor 1 isoform X1
9796_0:0012b1	9796_0	LHX8			100067568	LIM/homeobox protein Lhx8
9796_0:0012b2	9796_0	GBP5			100052023	guanylate-binding protein 5 isoform X1
9796_0:0012b3	9796_0	C5H1orf68			100630355	skin-specific protein 32
9796_0:0012b4	9796_0	CHIA			100063114	LOW QUALITY PROTEIN: acidic mammalian chitinase
9796_0:0012b5	9796_0	DNTTIP2			100630803	deoxynucleotidyltransferase terminal-interacting protein 2
9796_0:0012b6	9796_0	PDZK1	F6ZYG3		100065636	PDZ domain containing 1
9796_0:0012b7	9796_0	S100A1	F6UNB9		100056352	Protein S100
9796_0:0012b8	9796_0	PIFO			100063144	protein pitchfork isoform X1
9796_0:0012b9	9796_0	ATP5PB	F7ABC3		100058893	ATP synthase peripheral stalk-membrane subunit b
9796_0:0012ba	9796_0	HAX1	F6S7Z8		100056899	HCLS1-associated protein X-1
9796_0:0012bb	9796_0	RPRD2			100054668	regulation of nuclear pre-mRNA domain-containing protein 2 isoform X1
9796_0:0012bc	9796_0	LOC102151104			102151104	T-lymphocyte surface antigen Ly-9 isoform X1
9796_0:0012bd	9796_0	LOC102148193			102148193	small proline-rich protein 2E
9796_0:0012be	9796_0	ATXN7L2			100629633	ataxin-7-like protein 2 isoform X1
9796_0:0012bf	9796_0	OR10K2	F7ADI8		100146177	Olfactory receptor family 10 subfamily K member 2
9796_0:0012c0	9796_0	CD1D	C1IYH5		100054770	CD1d
9796_0:0012c1	9796_0	FMO4	F6ZTZ1		100052080	Dimethylaniline monooxygenase 
9796_0:0012c2	9796_0	LOC100056262			100056262	zona pellucida sperm-binding protein 3 receptor-like
9796_0:0012c3	9796_0	C5H1orf21	F6SLU7		100052032	Chromosome 5 C1orf21 homolog
9796_0:0012c4	9796_0	L7MRF2_HORSE	L7MRF2		100053868	CD48 antigen-like protein
9796_0:0012c5	9796_0	LOC100056094			100056094	probable palmitoyltransferase ZDHHC19 isoform X2
9796_0:0012c6	9796_0	CERS2			100055037	ceramide synthase 2
9796_0:0012c7	9796_0	LOC111773651			111773651	uncharacterized protein LOC111773651
9796_0:0012c8	9796_0	EFNA3	F6Z1K6		100057186	EFNA3
9796_0:0012c9	9796_0	B1AB84_HORSE;IL10	B1AB84		100034187	Interleukin-10
9796_0:0012ca	9796_0	RPS27			100629559	40S ribosomal protein S27 isoform X1
9796_0:0012cb	9796_0	ILF2			100056483	interleukin enhancer-binding factor 2
9796_0:0012cc	9796_0	TMCC2			100054804	transmembrane and coiled-coil domains protein 2 isoform X1
9796_0:0012cd	9796_0	ATP1A1			100034139	sodium/potassium-transporting ATPase subunit alpha-1 isoform X1
9796_0:0012ce	9796_0	RALGPS2	F7BUM7		100052879	Ral GEF with PH domain and SH3 binding motif 2
9796_0:0012cf	9796_0	LOC100630470			100630470	Fc receptor-like protein 3 isoform X2
9796_0:0012d0	9796_0	DPYD			100057177	dihydropyrimidine dehydrogenase 
9796_0:0012d1	9796_0	LOC100056705			100056705	LOW QUALITY PROTEIN: olfactory receptor 6K3-like
9796_0:0012d2	9796_0	MIER1	F6UUY7		100053862	MIER1 transcriptional regulator
9796_0:0012d3	9796_0	LOC100058633			100058633	carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform X1
9796_0:0012d4	9796_0	BRINP2	F6QRC4		100052773	BMP/retinoic acid inducible neural specific 2
9796_0:0012d5	9796_0	QSOX1			100053280	sulfhydryl oxidase 1
9796_0:0012d6	9796_0	NPHS2	F6WST7		100050627	NPHS2, podocin
9796_0:0012d7	9796_0	RIIAD1	F7E299		100630664	Regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1
9796_0:0012d8	9796_0	GORAB			100059246	RAB6-interacting golgin isoform X1
9796_0:0012d9	9796_0	SLAMF9			100630053	SLAM family member 9
9796_0:0012da	9796_0	CR1L			106783153	LOW QUALITY PROTEIN: complement component receptor 1-like protein
9796_0:0012db	9796_0	MPZ	Q6WEB5		100034024	Myelin protein P0
9796_0:0012dc	9796_0	IFI44L			100066063	interferon-induced protein 44-like
9796_0:0012dd	9796_0	TUFT1	F6ZH40		100059946	Tuftelin 1
9796_0:0012de	9796_0	VPS72			100147071	vacuolar protein sorting-associated protein 72 homolog
9796_0:0012df	9796_0	LOC100147270			100147270	immunoglobulin superfamily DCC subclass member 3
9796_0:0012e0	9796_0	UBQLN4			100063909	ubiquilin-4
9796_0:0012e1	9796_0	LOC100056753			100056753	olfactory receptor 6K3
9796_0:0012e2	9796_0	VCAM	A7LP08		100050252	Vascular cell adhesion molecule
9796_0:0012e3	9796_0	SYT11	F7D933		100057507	Synaptotagmin 11
9796_0:0012e4	9796_0	TGFBR3			100060435	transforming growth factor beta receptor type 3 isoform X1
9796_0:0012e5	9796_0	S100A9	F6RM82		100061730	Protein S100
9796_0:0012e6	9796_0	RABGAP1L			100630720	rab GTPase-activating protein 1-like isoform X5
9796_0:0012e7	9796_0	PKN2			100052266	serine/threonine-protein kinase N2
9796_0:0012e8	9796_0	SLAMF6			100058672	SLAM family member 6 isoform X1
9796_0:0012e9	9796_0	TMOD4			100146789	tropomodulin-4 isoform X1
9796_0:0012ea	9796_0	LOC100057465			100057465	GON-4-like protein isoform X1
9796_0:0012eb	9796_0	LOC102147390			102147390	T-lymphocyte surface antigen Ly-9
9796_0:0012ec	9796_0	PPM1J			100064028	protein phosphatase 1J isoform X1
9796_0:0012ed	9796_0	POGK			102148246	pogo transposable element with KRAB domain
9796_0:0012ee	9796_0	NHLH2			111773546	helix-loop-helix protein 2
9796_0:0012ef	9796_0	SLC39A1	F6T5M8		100062274	Solute carrier family 39 member 1
9796_0:0012f0	9796_0	RGS8	F6VQD2		100051587	Regulator of G protein signaling 8
9796_0:0012f1	9796_0	LOC111773647			111773647	high affinity immunoglobulin gamma Fc receptor I-like
9796_0:0012f2	9796_0	PLPPR5			100056696	phospholipid phosphatase-related protein type 5 isoform X1
9796_0:0012f3	9796_0	CACNA1E			100054582	voltage-dependent R-type calcium channel subunit alpha-1E isoform X2
9796_0:0012f4	9796_0	OLFM3			100049986	noelin-3 isoform X1
9796_0:0012f5	9796_0	ARPC5			100051848	actin-related protein 2/3 complex subunit 5
9796_0:0012f6	9796_0	CD1a3	G3FP01		100055220	CD1 protein
9796_0:0012f7	9796_0	CD1e1	G3FP07		100055598	CD1 protein
9796_0:0012f8	9796_0	UHMK1	F6RP19		100058796	U2AF homology motif kinase 1
9796_0:0012f9	9796_0	LOC100147690			100147690	probable palmitoyltransferase ZDHHC19
9796_0:0012fa	9796_0	LOC100059182			100059182	probable palmitoyltransferase ZDHHC19 isoform X1
9796_0:0012fb	9796_0	LRRC7			100068467	leucine-rich repeat-containing protein 7 isoform X2
9796_0:0012fc	9796_0	TTC24			100057887	LOW QUALITY PROTEIN: tetratricopeptide repeat protein 24
9796_0:0012fd	9796_0	CD1B1	F6YHL4		100034038	CD1 protein
9796_0:0012fe	9796_0	EPS8L3			102148940	epidermal growth factor receptor kinase substrate 8-like protein 3 isoform X1
9796_0:0012ff	9796_0	POLR3GL			100146677	DNA-directed RNA polymerase III subunit RPC7-like
9796_0:001300	9796_0	LOC102148133			102148133	small proline-rich protein 2A
9796_0:001301	9796_0	AVPR1B			100055260	vasopressin V1b receptor
9796_0:001302	9796_0	ZNF697			102150703	zinc finger protein 697 isoform X1
9796_0:001303	9796_0	LOC100059737			100059737	histone H2B type 2-F
9796_0:001304	9796_0	IL24			100055675	interleukin-24
9796_0:001305	9796_0	LOC102150150			102150150	low affinity immunoglobulin gamma Fc region receptor II-b isoform X1
9796_0:001306	9796_0	TSEN15			100630405	tRNA-splicing endonuclease subunit Sen15
9796_0:001307	9796_0	Q5J3Q6_HORSE;SELP	L7MSM7		100009695	p-selectin-like protein
9796_0:001308	9796_0	CD53	F6ZTF2		100058745	Tetraspanin
9796_0:001309	9796_0	CENPL			100052440	centromere protein L isoform X1
9796_0:00130a	9796_0	CTSK	F7A8R5		100054991	Cathepsin K
9796_0:00130b	9796_0	LEMD1	F7ARR9		100629583	LEM domain containing 1
9796_0:00130c	9796_0	LOC100057500			100057500	membrane cofactor protein isoform X1
9796_0:00130d	9796_0	CFAP126			100066452	protein Flattop isoform X1
9796_0:00130e	9796_0	LYSMD1	F6SJ05		106780835	LysM domain containing 1
9796_0:00130f	9796_0	RNF115			100065677	E3 ubiquitin-protein ligase RNF115
9796_0:001310	9796_0	FCRL4			102150909	Fc receptor-like protein 4 isoform X1
9796_0:001311	9796_0	LOC102149904			102149904	putative neuroblastoma breakpoint family member 5 isoform X1
9796_0:001312	9796_0	BOLA1			111773534	bolA-like protein 1
9796_0:001313	9796_0	LOC100630251			100630251	cornifin-A
9796_0:001314	9796_0	CA14			100054535	carbonic anhydrase 14 isoform X1
9796_0:001315	9796_0	RGS4	F7AWM3		100058342	Regulator of G protein signaling 4
9796_0:001316	9796_0	LOC100056185			100056185	olfactory receptor 6P1
9796_0:001317	9796_0	INSL5	F6XAA0		100053910	Insulin like 5
9796_0:001318	9796_0	LOC100055816			100055816	olfactory receptor 10R2-like
9796_0:001319	9796_0	LOC100064919			100064919	uricase isoform X2
9796_0:00131a	9796_0	C5H1orf54			100630631	uncharacterized protein C1orf54 homolog isoform X1
9796_0:00131b	9796_0	COLGALT2			100055683	procollagen galactosyltransferase 2
9796_0:00131c	9796_0	CTSE	F6Q1N6		100055161	Cathepsin E
9796_0:00131d	9796_0	SLAMF7			100058797	SLAM family member 7 isoform X1
9796_0:00131e	9796_0	DCAF8	F6T4G5		100053669	DCAF8
9796_0:00131f	9796_0	LOC100055814			100055814	late cornified envelope protein 3D
9796_0:001320	9796_0	CD84			100058754	SLAM family member 5 isoform X1
9796_0:001321	9796_0	TNN			100061556	tenascin-N isoform X1
9796_0:001322	9796_0	TMIGD3			100063300	transmembrane domain-containing protein TMIGD3 isoform X4
9796_0:001323	9796_0	LOC100063474			100063474	calcium-activated chloride channel regulator 4
9796_0:001324	9796_0	FAM20B	F7DK06		100052982	FAM20B, glycosaminoglycan xylosylkinase
9796_0:001325	9796_0	TCHHL1			102150248	trichohyalin-like protein 1
9796_0:001326	9796_0	METTL18			100058744	histidine protein methyltransferase 1 homolog
9796_0:001327	9796_0	RD3			100054943	protein RD3
9796_0:001328	9796_0	BATF3			100053960	basic leucine zipper transcriptional factor ATF-like 3
9796_0:001329	9796_0	EIF2D			100055423	eukaryotic translation initiation factor 2D isoform X1
9796_0:00132a	9796_0	LOC100061631	F6S8H1		100061631	LOC100061631
9796_0:00132b	9796_0	FNDC7			100060739	fibronectin type III domain-containing protein 7
9796_0:00132c	9796_0	IQGAP3			100064268	ras GTPase-activating-like protein IQGAP3 isoform X1
9796_0:00132d	9796_0	PFKFB2			100051146	6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase 2 isoform X1
9796_0:00132e	9796_0	ADGRL2			100052932	adhesion G protein-coupled receptor L2 isoform X1
9796_0:00132f	9796_0	DIRAS3			100146793	GTP-binding protein Di-Ras3
9796_0:001330	9796_0	PDC	Q9XS39		100033898	Phosducin
9796_0:001331	9796_0	MPC2	F7D5R9		100051501	Mitochondrial pyruvate carrier
9796_0:001332	9796_0	FMO5	F6PLR9		100065455	Dimethylaniline monooxygenase 
9796_0:001333	9796_0	PLEKHO1			100058752	pleckstrin homology domain-containing family O member 1
9796_0:001334	9796_0	MDM4			100050113	protein Mdm4 isoform X1
9796_0:001335	9796_0	ANKRD34A	F6T9Y5		100065323	Ankyrin repeat domain 34A
9796_0:001336	9796_0	LOC111773652			111773652	uncharacterized protein LOC111773652
9796_0:001337	9796_0	CDC14A			100055766	dual specificity protein phosphatase CDC14A isoform X1
9796_0:001338	9796_0	UBL4B			100062023	ubiquitin-like protein 4B
9796_0:001339	9796_0	PTGFRN			100146680	prostaglandin F2 receptor negative regulator
9796_0:00133a	9796_0	NIT1			100066646	deaminated glutathione amidase isoform X2
9796_0:00133b	9796_0	MTMR11			100058630	LOW QUALITY PROTEIN: myotubularin-related protein 11
9796_0:00133c	9796_0	LOC100146269			100146269	LOW QUALITY PROTEIN: olfactory receptor 6P1
9796_0:00133d	9796_0	KLHDC9	F7DXM0		100066672	Kelch domain containing 9
9796_0:00133e	9796_0	TDRD10			100062621	tudor domain-containing protein 10
9796_0:00133f	9796_0	TTLL7	F6R8P9		100052881	Tubulin tyrosine ligase like 7
9796_0:001340	9796_0	DENND2C			100059428	DENN domain-containing protein 2C isoform X1
9796_0:001341	9796_0	K9K9N6_HORSE	K9K9N6		100052140	BAT2 domain-containing protein 1-like protein
9796_0:001342	9796_0	ZNF648	F6W645		100051231	ZNF648
9796_0:001343	9796_0	MRPS14			100052668	28S ribosomal protein S14, mitochondrial
9796_0:001344	9796_0	IL6R	F6Y7E0		102148787	Interleukin 6 receptor
9796_0:001345	9796_0	COPA			100053719	coatomer subunit alpha isoform X1
9796_0:001346	9796_0	SLAMF1			100053816	signaling lymphocytic activation molecule isoform X1
9796_0:001347	9796_0	ACP6	F7BS37		100065568	Acid phosphatase 6, lysophosphatidic
9796_0:001348	9796_0	LOC106783179	F7D7H0		106783179	Olfactory receptor
9796_0:001349	9796_0	SYPL2			100061523	synaptophysin-like protein 2
9796_0:00134a	9796_0	LOC100054852	F6WFH9		100054852	LOC100054852
9796_0:00134b	9796_0	CLCA1	Q2TU62		100009706	Calcium-activated chloride channel regulator 1
9796_0:00134c	9796_0	SLC19A2	F6TA39		100058457	Solute carrier family 19 member 2
9796_0:00134d	9796_0	LOC100060157			100060157	LOW QUALITY PROTEIN: lysophosphatidylcholine acyltransferase 2B-like
9796_0:00134e	9796_0	CKS1B	F6XP56		100630884	Cyclin-dependent kinases regulatory subunit
9796_0:00134f	9796_0	CENPF	F6X517		100050180	Centromere protein F
9796_0:001350	9796_0	KCNJ10	F6QWP4		100058121	Potassium voltage-gated channel subfamily J member 10
9796_0:001351	9796_0	UTP25			100051433	digestive organ expansion factor homolog
9796_0:001352	9796_0	ITGB3BP			100070080	centromere protein R isoform X1
9796_0:001353	9796_0	IGSF8			100058209	immunoglobulin superfamily member 8 isoform X1
9796_0:001354	9796_0	NEGR1			100053464	neuronal growth regulator 1 precursor
9796_0:001355	9796_0	USP21			100066197	ubiquitin carboxyl-terminal hydrolase 21
9796_0:001356	9796_0	ETNK2			100054205	ethanolamine kinase 2 isoform X1
9796_0:001357	9796_0	ABL2	F7B6Q9		100053033	Tyrosine-protein kinase
9796_0:001358	9796_0	LCE6A			102147554	late cornified envelope protein 6A
9796_0:001359	9796_0	Kiss1	V9Y1I1		100054297	Kisspeptin
9796_0:00135a	9796_0	L1TD1			100070451	LINE-1 type transposase domain-containing protein 1
9796_0:00135b	9796_0	STX6			100054016	syntaxin-6 isoform X1
9796_0:00135c	9796_0	CNN3	F7DCH4		100058159	Calponin
9796_0:00135d	9796_0	MAN1A2			100066466	mannosyl-oligosaccharide 1,2-alpha-mannosidase IB isoform X1
9796_0:00135e	9796_0	RAVER2			100069778	LOW QUALITY PROTEIN: ribonucleoprotein PTB-binding 2
9796_0:00135f	9796_0	DUSP23			100053524	dual specificity protein phosphatase 23 isoform X1
9796_0:001360	9796_0	LRRC52	F6VNM9		100060443	Leucine rich repeat containing 52
9796_0:001361	9796_0	FAM69A			100059756	protein FAM69A isoform X1
9796_0:001362	9796_0	ZNF326			100061229	DBIRD complex subunit ZNF326 isoform X1
9796_0:001363	9796_0	NES			100064419	nestin
9796_0:001364	9796_0	RUSC1			100630377	RUN and SH3 domain-containing protein 1 isoform X1
9796_0:001365	9796_0	DNAJB4	F6PM07		100053123	DnaJ heat shock protein family (Hsp40) member B4
9796_0:001366	9796_0	C5H1orf194	F6WJY6		100061201	Chromosome 5 C1orf194 homolog
9796_0:001367	9796_0	LOC111773519			111773519	small proline-rich protein 2I-like
9796_0:001368	9796_0	LOC100057265			100057265	olfactory receptor 10J1-like
9796_0:001369	9796_0	IFI44			100053034	interferon-induced protein 44 isoform X1
9796_0:00136a	9796_0	PGLYRP4			100061565	peptidoglycan recognition protein 4
9796_0:00136b	9796_0	ODR4			100049921	protein odr-4 homolog isoform X1
9796_0:00136c	9796_0	USF1	F7AXE8		100066365	Upstream transcription factor 1
9796_0:00136d	9796_0	LOC100055984			100055984	LOW QUALITY PROTEIN: olfactory receptor 10T2-like
9796_0:00136e	9796_0	TATDN3			100053661	putative deoxyribonuclease TATDN3 isoform X1
9796_0:00136f	9796_0	ATF3	F6ZLV9		100050849	Activating transcription factor 3
9796_0:001370	9796_0	TDRD5			100050707	tudor domain-containing protein 5 isoform X1
9796_0:001371	9796_0	LOC106783170			106783170	uncharacterized protein LOC106783170
9796_0:001372	9796_0	FMO3			100052022	dimethylaniline monooxygenase 
9796_0:001373	9796_0	MNDA	F6UV62		106783181	Myeloid cell nuclear differentiation antigen
9796_0:001374	9796_0	POLR3C	F6Y987		100065113	RNA polymerase III subunit C
9796_0:001375	9796_0	PLA2G4A	F6PR02		100033889	Phospholipase A2
9796_0:001376	9796_0	LOC111773396			111773396	late cornified envelope protein 2A-like
9796_0:001377	9796_0	TMEM79	F7D701		100057797	Transmembrane protein 79
9796_0:001378	9796_0	LOC111773394			111773394	late cornified envelope protein 2D
9796_0:001379	9796_0	USP1			100070397	ubiquitin carboxyl-terminal hydrolase 1 isoform X1
9796_0:00137a	9796_0	METTL11B			100059169	alpha N-terminal protein methyltransferase 1B isoform X1
9796_0:00137b	9796_0	SYDE2			100064262	rho GTPase-activating protein SYDE2 isoform X1
9796_0:00137c	9796_0	LRRC8D	F6Z951		100061270	Leucine rich repeat containing 8 VRAC subunit D
9796_0:00137d	9796_0	METTL13			100052265	methyltransferase-like protein 13
9796_0:00137e	9796_0	AMIGO1	F6X0F6		100058158	Adhesion molecule with Ig like domain 1
9796_0:00137f	9796_0	MFSD14A			100050614	hippocampus abundant transcript 1 protein
9796_0:001380	9796_0	ADAR			100056984	double-stranded RNA-specific adenosine deaminase isoform X2
9796_0:001381	9796_0	LOC102147466			102147466	SLAM family member 8 isoform X1
9796_0:001382	9796_0	TMEM167B	F7AI96		100629819	Protein kish
9796_0:001383	9796_0	HMCN1			100052277	hemicentin-1 isoform X1
9796_0:001384	9796_0	TMEM206			100050924	transmembrane protein 206
9796_0:001385	9796_0	LOC100057335			100057335	membrane cofactor protein
9796_0:001386	9796_0	LOC111773643			111773643	SLAM family member 5-like
9796_0:001387	9796_0	FASLG	F6YI29		100052326	Fas ligand
9796_0:001388	9796_0	MLLT11			100059361	protein AF1q isoform X1
9796_0:001389	9796_0	BLZF1	F6PJT7		100058289	Basic leucine zipper nuclear factor 1
9796_0:00138a	9796_0	ENSA			100054812	alpha-endosulfine
9796_0:00138b	9796_0	CHD1L			100064990	chromodomain-helicase-DNA-binding protein 1-like isoform X1
9796_0:00138c	9796_0	EVI5			100059782	ecotropic viral integration site 5 protein homolog isoform X2
9796_0:00138d	9796_0	PDE4DIP			100067170	myomegalin isoform X1
9796_0:00138e	9796_0	HSD3B	O46516		100034078	Steroid Delta-isomerase
9796_0:00138f	9796_0	C5H1orf162			100630079	transmembrane protein C1orf162 homolog isoform X1
9796_0:001390	9796_0	LOC111773648			111773648	serine/arginine repetitive matrix protein 1-like
9796_0:001391	9796_0	LOC102148649			102148649	late cornified envelope protein 3D
9796_0:001392	9796_0	PRDX6			100052382	peroxiredoxin-6
9796_0:001393	9796_0	DDX20			100063604	probable ATP-dependent RNA helicase DDX20
9796_0:001394	9796_0	EXTL2	F6VGM0		100050181	Exostosin like glycosyltransferase 2
9796_0:001395	9796_0	HSD17B7			100059061	3-keto-steroid reductase isoform X1
9796_0:001396	9796_0	SLC25A24	F6Z4N2		100057835	Solute carrier family 25 member 24
9796_0:001397	9796_0	REN			100054248	renin
9796_0:001398	9796_0	LOC100065733			100065733	low affinity immunoglobulin gamma Fc region receptor III isoform X1
9796_0:001399	9796_0	NUAK2			100054893	NUAK family SNF1-like kinase 2 isoform X1
9796_0:00139a	9796_0	LOC100054113	F7BXF3		100054058	Histone H2A
9796_0:00139b	9796_0	RPL5	Q8MIN5		100033985	Ribosomal protein L5
9796_0:00139c	9796_0	PIGR	F6W1N4		100055765	PIGR
9796_0:00139d	9796_0	PEX11B			100065233	peroxisomal membrane protein 11B
9796_0:00139e	9796_0	FNBP1L			100059052	formin-binding protein 1-like isoform X4
9796_0:00139f	9796_0	PPP2R5A	F7C305		100054440	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit
9796_0:0013a0	9796_0	ROR1			100069962	inactive tyrosine-protein kinase transmembrane receptor ROR1
9796_0:0013a1	9796_0	GLUL			100054716	glutamine synthetase
9796_0:0013a2	9796_0	LAMTOR2	F6Z4M4		100063939	Late endosomal/lysosomal adaptor, MAPK and MTOR activator 2
9796_0:0013a3	9796_0	LY9			100058830	T-lymphocyte surface antigen Ly-9 isoform X1
9796_0:0013a4	9796_0	TNN			100061556	tenascin-N isoform X2
9796_0:0013a5	9796_0	ANKRD45			100060817	ankyrin repeat domain-containing protein 45 isoform X1
9796_0:0013a6	9796_0	s100A7	Q14ST5		100033976	Protein S100-A7
9796_0:0013a7	9796_0	SDHC	F7D5F3		100065940	Succinate dehydrogenase complex subunit C
9796_0:0013a8	9796_0	LENEP			100057102	lens epithelial cell protein LEP503
9796_0:0013a9	9796_0	BCAN	F6PNK4		100064356	Brevican
9796_0:0013aa	9796_0	ADAMTSL4			100059096	ADAMTS-like protein 4 isoform X1
9796_0:0013ab	9796_0	ATP1A2			100058251	sodium/potassium-transporting ATPase subunit alpha-2
9796_0:0013ac	9796_0	ITGA10	F6Q1A0		100065205	Integrin subunit alpha 10
9796_0:0013ad	9796_0	PSMA5	F6VEA3		100061457	Proteasome subunit alpha type
9796_0:0013ae	9796_0	FLAD1	F6UQ36		100063090	FAD synthase
9796_0:0013af	9796_0	GFI1			100630571	zinc finger protein Gfi-1
9796_0:0013b0	9796_0	ST6GALNAC3			100066966	alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 isoform X5
9796_0:0013b1	9796_0	LOC100056233			100056233	olfactory receptor 10X1-like
9796_0:0013b2	9796_0	VTCN1			100066328	V-set domain-containing T-cell activation inhibitor 1 isoform X1
9796_0:0013b3	9796_0	USP33			100053171	ubiquitin carboxyl-terminal hydrolase 33 isoform X1
9796_0:0013b4	9796_0	NEXN			100066410	nexilin isoform X1
9796_0:0013b5	9796_0	LOC100055732			100055732	olfactory receptor 10T2-like
9796_0:0013b6	9796_0	TRIM33			100065226	E3 ubiquitin-protein ligase TRIM33 isoform X1
9796_0:0013b7	9796_0	FAM189B	F7DCV7		100057304	Family with sequence similarity 189 member B
9796_0:0013b8	9796_0	LOC100051073	F6QDH8		100051073	Alpha-amylase
9796_0:0013b9	9796_0	HDGF			100064506	hepatoma-derived growth factor
9796_0:0013ba	9796_0	PCP4L1			100630691	Purkinje cell protein 4-like protein 1
9796_0:0013bb	9796_0	TOR1AIP1			100052943	torsin-1A-interacting protein 1 isoform X1
9796_0:0013bc	9796_0	TEX35			100629140	testis-expressed protein 35 isoform X1
9796_0:0013bd	9796_0	TM2D1			100070493	TM2 domain-containing protein 1 isoform X1
